식품명,1회제공량,에너지,단백질,지방,탄수화물,당류,나트륨,콜레스테롤,포화지방산,트랜스지방산
자연과사람들)최고야포도씨C,135.0mL,25.0㎉,0g,0.0g,6.0g,17g,1.0㎎,0g,0.0g,0g
자연과사람들)칼슘이가득한검은깨검은콩두유,190.0mL,145.0㎉,0.0g,7.0g,0.0g,13g,210.0㎎,0g,0g,0g
자연과사람들)케어웰1.5플러스,200.0mL,300.0㎉,13.0g,10.0g,40.0g,2g,210.0㎎,0g,1g,0g
자연과사람들)케어웰검은참깨,200.0mL,200.0㎉,7.0g,6.0g,30.0g,7g,110.0㎎,0g,1.5g,0g
자연과사람들)케어웰구수한맛,200.0mL,200.0㎉,8.0g,6.0g,29.0g,6g,140.0㎎,0g,1.5g,0g
자연과사람들)케어웰당뇨식,200.0mL,200.0㎉,9.0g,10.0g,20.5g,1.5g,180.0㎎,0g,0.9g,0g
자연과사람들)케어웰디엠,200.0mL,200.0㎉,9.0g,10.0g,20.0g,1.5g,180.0㎎,0g,0.9g,0g
자연과사람들)케어웰스탠다드티에프,200.0mL,200.0㎉,8.0g,6.0g,29.0g,0.7g,180.0㎎,0g,1g,0g
자연과사람들)케어웰어드밴스,200.0mL,200.0㎉,8.0g,6.0g,30.0g,0.7g,180.0㎎,0g,1g,0g
자연과사람들)케어웰인사이드,200.0mL,200.0㎉,9.0g,7.0g,26.5g,0.7g,180.0㎎,0g,2g,0g
자연과사람들)큰집식혜,238.0g,116㎉,0g,0g,0g,25g,0㎎,0g,0g,0g
자연과사람들)포도랑야채,190.0mL,120.0㎉,1g,0.0g,29.0g,25g,40.0㎎,0g,0.0g,0g
자연과사람들)황성주의과채습관1일과일,190.0mL,85.0㎉,0g,0.0g,21.0g,16g,65.0㎎,0g,0.0g,0g
자연과사람들)황성주의과채습관1일야채,190.0mL,105.0㎉,1g,0.0g,25.0g,19g,65.0㎎,0g,0.0g,0g
자연과사람들)후디스검은콩검은깨흑미고칼슘두유,190.0mL,140.0㎉,0.0g,7.0g,0.0g,7g,200.0㎎,0g,0g,0g
자연과사람들)힘내파인애플씨,135.0g,70㎉,0g,0g,18g,17g,10㎎,0g,0g,0g
자연농장)노니를품은석류,70.0mL,36㎉,0g,0g,9g,8g,1㎎,0g,0g,0g
자연농장)도레미배즙,90.0g,40㎉,0g,0g,0g,10g,0㎎,0g,0g,0g
자연농장)배하나도라지듬뿍,100.0mL,52.0㎉,0g,0.0g,13.0g,10g,0.0㎎,0g,0.0g,0g
자연농장)사과하나당근반쪽,100.0mL,41.0㎉,0g,0.45g,9.1g,9.07g,11.33㎎,0g,0.0g,0g
자연농장)어린이코코배즙,90.0g,30㎉,0g,0g,0g,5g,0㎎,0g,0g,0g
자연농장)이너바우어타트체리100,2100.0mL,46㎉,0.3g,0g,11g,6.7g,2㎎,0g,0g,0g
자연농장)지오스퀴즈팜석류100,100.0mL,45.0㎉,0g,0.0g,11.0g,10g,10.0㎎,0g,0.0g,0g
자연농장)지오스퀴즈팜포도100,100.0g,44㎉,0g,0g,11g,10g,0㎎,0g,0g,0g
자연농장)통째로짜낸석류착즙액,50.0mL,30㎉,0g,0g,7g,7g,0㎎,0g,0g,0g
자연드림)i버터130g,100.0g,661㎉,3.2g,68.5g,7.9g,1.4g,28.3㎎,0g,38.2g,1.2g
자연드림)i우유180ml밀크쿱,180.0mL,125㎉,6g,7g,9g,10g,75㎎,0g,4.7g,0.3g
자연드림)i우유900ml밀크쿱,100.0mL,70㎉,3g,4g,5g,6g,40㎎,0g,2.6g,0g
자연드림)i우유저지방900ml밀크쿱,100.0mL,45㎉,3g,1.1g,5g,4g,40㎎,0g,0.8g,0g
자연드림)가나슈케이크,520.0g,2220㎉,27g,141g,211g,69g,490㎎,0g,69g,0.3g
자연드림)가득찬메밀국수,820.0g,485㎉,19g,2.2g,98g,23g,2330㎎,0g,0g,0g
자연드림)가시오가피진액,100.0mL,10㎉,0g,0g,2g,0g,0㎎,0g,0g,0g
자연드림)간엔밀크씨슬,1.0g,0㎉,0g,0g,0.7g,0g,0㎎,0g,0g,0g
자연드림)간편곤드레나물밥,250.0g,415㎉,9g,6g,81g,1g,540㎎,0g,1.6g,0.3g
자연드림)감귤주스,180.0mL,85㎉,1g,0.9g,18g,18g,0㎎,0g,0g,0g
자연드림)감귤즙,620.0mL,185㎉,0g,0g,50g,37g,60㎎,0g,0g,0g
자연드림)감귤한모금120ml,120.0mL,55㎉,0g,0g,13g,12g,0㎎,0g,0g,0g
자연드림)감귤한모금120ml16입,120.0mL,55㎉,0g,0g,13g,12g,0㎎,0g,0g,0g
자연드림)감귤한모금190ml,190.0mL,90㎉,0g,0g,22g,20g,0㎎,0g,0g,0g
자연드림)감귤한모금190ml24입,190.0mL,90㎉,0g,0g,22g,20g,0㎎,0g,0g,0g
자연드림)감자전,100.0g,150㎉,3g,4.1g,26g,0.7g,130㎎,0g,0.6g,0g
자연드림)건강한장어탕,500.0g,200㎉,14g,4.3g,26g,5g,1040㎎,0g,2.8g,0g
자연드림)건당면,100.0g,350㎉,0g,0g,86g,0g,0㎎,0g,0g,0g
자연드림)건자른당면,100.0g,350㎉,0g,0g,86g,0g,0㎎,0g,0g,0g
자연드림)검은깨두부스낵,80.0g,395㎉,9g,17g,51g,7g,270㎎,0g,1.8g,0g
자연드림)검은깨어묵핫도그,270.0g,680㎉,21g,25g,93g,31g,1020㎎,0g,2.9g,0g
자연드림)검은깨쿠키,100.0g,515㎉,7g,27g,62g,26g,170㎎,0g,14g,0.3g
자연드림)검은콩두유달콤한맛,195.0mL,115㎉,8g,2.9g,14g,5g,250㎎,0g,0g,0g
자연드림)검은콩두유담백한맛,195.0mL,115㎉,7g,3.5g,10g,3g,220㎎,0g,0g,0g
자연드림)검은콩두유우리콩식품,195.0mL,135㎉,7g,6g,13g,4g,290㎎,0g,0.6g,0g
자연드림)검정깨스낵,65.0g,275㎉,5g,6g,51g,15g,150㎎,0g,1.3g,0g
자연드림)고구마봉봉1호,670.0g,1680㎉,26g,94g,183g,143g,920㎎,0g,60g,3.4g
자연드림)고구마봉봉2호,950.0g,2385㎉,38g,133g,260g,203g,1310㎎,0g,85g,4.9g
자연드림)고기교자만두,400.0g,805㎉,31g,37g,85g,4g,1310㎎,0g,11g,0g
자연드림)고기만두,510.0g,970㎉,47g,36g,114g,10g,1560㎎,0g,11g,0.9g
자연드림)고기만두1인용,150.0g,285㎉,14g,11g,33g,3g,460㎎,0g,3.1g,0.3g
자연드림)고추군만두,510.0g,915㎉,32g,31g,126g,6g,1230㎎,0g,12g,0g
자연드림)고추참치,150.0g,205㎉,23g,6g,16g,10g,560㎎,0g,1g,0g
자연드림)골목대장짱군,100.0g,500㎉,6g,23g,67g,24g,170㎎,0g,1.8g,0g
자연드림)과일듬뿍주스150ml,150.0mL,66㎉,0g,0g,16g,16g,0㎎,0g,0g,0g
자연드림)과일듬뿍주스150ml10개,150.0mL,66㎉,0g,0g,16g,16g,0㎎,0g,0g,0g
자연드림)과자속아이스빈,140.0mL,205㎉,4g,7g,32g,21g,55㎎,0g,3.3g,0g
자연드림)괴산찰옥수수찐빵,330.0g,800㎉,21g,14g,148g,45g,670㎎,0g,1.4g,0g
자연드림)구궁가마솥연잎찰밥,230.0g,400㎉,12g,8g,70g,0g,100㎎,0g,0.5g,0g
자연드림)구운나쵸칩,40.0g,175㎉,3g,3.6g,33g,0g,110㎎,0g,0g,0g
자연드림)구운나쵸칩양파맛,40.0g,180㎉,3g,4.8g,31g,1g,130㎎,0g,0.8g,0g
자연드림)구운두부과자,100.0g,430㎉,14g,10g,72g,11g,550㎎,0g,0.9g,0g
자연드림)구워먹는치즈,110.0g,580㎉,24g,32g,49g,2g,200㎎,0g,21g,0.7g
자연드림)군만두,510.0g,1055㎉,46g,47g,112g,11g,1170㎎,0g,13g,1.1g
자연드림)군만두1인용,150.0g,310㎉,13g,14g,33g,3g,340㎎,0g,3.9g,0.3g
자연드림)군만두벌크,1020.0g,2105㎉,91g,94g,223g,23g,2340㎎,0g,27g,2.2g
자연드림)그린팜,200.0g,405㎉,27g,30g,7g,0g,1360㎎,0g,10g,0g
자연드림)그릴후랑크소시지,30.0g,65㎉,5g,4g,2g,0.7g,150㎎,0g,1.6g,0g
자연드림)기리쉬케이크1호,515.0g,1655㎉,25g,114g,183g,104g,340㎎,0g,51g,0g
자연드림)기리쉬케이크2호,665.0g,2140㎉,32g,147g,236g,134g,440㎎,0g,66g,0g
자연드림)김치교자만두,400.0g,770㎉,23g,28g,110g,7g,1460㎎,0g,8g,0g
자연드림)김치만두,510.0g,1020㎉,36g,33g,145g,13g,1700㎎,0g,9g,0.5g
자연드림)김치만두1인용,150.0g,300㎉,11g,10g,43g,4g,500㎎,0g,2.7g,0g
자연드림)꼬마링딸기당근,30.0g,120㎉,2g,1g,25g,0.7g,0㎎,0g,0g,0g
자연드림)꼬마링브로콜리사과,30.0g,120㎉,3g,1.1g,25g,0g,0㎎,0g,0g,0g
자연드림)꼬마우산감귤,4.0mL,12㎉,0g,0g,3g,2g,0㎎,0g,0g,0g
자연드림)꼬마우산포도,4.0mL,8㎉,0g,0g,2g,2g,0㎎,0g,0g,0g
자연드림)꼬마핫도그,200.0g,670㎉,21g,40g,57g,21g,710㎎,0g,8g,0g
자연드림)꼬마후랑크소시지,90.0g,490㎉,29g,32g,22g,0.7g,840㎎,0g,12g,0g
자연드림)꽃빵250g쿱만두,250.0g,620㎉,15g,8g,123g,11g,280㎎,0g,0.8g,0g
자연드림)꽃약과,30.0g,145㎉,2g,8g,18g,10g,15㎎,0g,0.7g,0g
자연드림)내몸엔시리즈B,1.0g,5㎉,0.7g,0g,0g,0g,0㎎,0g,0g,0g
자연드림)내몸엔시리즈C,2.0g,10㎉,0.7g,0g,0g,0g,0㎎,0g,0g,0g
자연드림)내몸엔시리즈D,0.5g,0㎉,0g,0g,0g,0g,0㎎,0g,0g,0g
자연드림)내이름은꼬마곰,50.0g,230㎉,5g,8g,36g,10g,170㎎,0g,4.5g,0g
자연드림)녹두전,150.0g,260㎉,10g,10g,31g,6g,470㎎,0g,1.9g,0g
자연드림)녹용액남성,90.0mL,25㎉,0g,0g,9g,0g,0㎎,0g,0g,0g
자연드림)녹용액어린이,90.0mL,25㎉,0g,0g,6g,0g,10㎎,0g,0g,0g
자연드림)녹용액여성,90.0mL,20㎉,0g,0g,5g,0g,0㎎,0g,0g,0g
자연드림)녹용액청소년용,90.0mL,35㎉,0g,0g,9g,0g,15㎎,0g,0g,0g
자연드림)녹차라떼봉지,15.0g,60㎉,0g,0.7g,13g,8g,0㎎,0g,0g,0g
자연드림)눈꽃딸기샤베트,80.0mL,95㎉,0.7g,1.7g,20g,13g,25㎎,0g,1g,0g
자연드림)눈꽃핀옥수수,70.0g,355㎉,6g,17g,46g,0g,300㎎,0g,8g,0g
자연드림)눈꽃핀옥수수어니언맛,60.0g,310㎉,4.6g,17g,35g,3g,405㎎,0g,8g,0g
자연드림)단일목장유기농우유데미샘,200.0mL,115㎉,6g,6g,10g,7g,65㎎,0g,3.5g,0g
자연드림)단팥가득바,70.0mL,100㎉,2g,1g,21g,11g,25㎎,0g,0.6g,0g
자연드림)단팥빵,80.0g,225㎉,7g,5g,38g,13g,140㎎,0g,2g,0g
자연드림)달콤한눈꽃핀옥수수,60.0g,310㎉,3g,16g,39g,10g,220㎎,0g,7g,0g
자연드림)달콤한딸기잼,300.0g,305㎉,0.7g,0g,76g,71g,0㎎,0g,0g,0g
자연드림)달콤한조청꽈배기,150.0g,750㎉,10g,36g,97g,26g,520㎎,0g,2.1g,0g
자연드림)달콤홍삼,120.0mL,80㎉,0g,0g,20g,15g,0㎎,0g,0g,0g
자연드림)달콤홍삼1,120.0mL,80㎉,0g,0g,20g,15g,0㎎,0g,0g,0g
자연드림)닭곰탕,450.0g,110㎉,13g,1.4g,11g,0g,550㎎,0g,0g,0g
자연드림)담백한우리밀또띠아,80.0g,315㎉,6g,5g,61g,1g,370㎎,0g,0.7g,0g
자연드림)당근사과주스1000ml,100.0mL,50㎉,0g,0g,13g,11g,10㎎,0g,0g,0g
자연드림)당근사과주스120ml10개,120.0mL,62㎉,0.7g,0g,15g,14g,10㎎,0g,0g,0g
자연드림)당근사과주스180ml,180.0mL,93㎉,0.7g,0g,23g,21g,15㎎,0g,0g,0g
자연드림)당근케이크,520.0g,1900㎉,34g,112g,189g,103g,660㎎,0g,39g,1.1g
자연드림)당근토마토주스1000ml,200.0mL,60㎉,0g,0g,14g,12g,40㎎,0g,0g,0g
자연드림)더맛있는고추햄,200.0g,395㎉,31g,25g,12g,4g,1000㎎,0g,9g,0g
자연드림)더맛있는김밥햄,230.0g,435㎉,37g,27g,12g,3g,1320㎎,0g,9g,0.3g
자연드림)더맛있는모둠소시지,240.0g,590㎉,29g,42g,24g,5g,1080㎎,0g,16g,0.3g
자연드림)더맛있는베이컨,100.0g,295㎉,17g,22g,7g,0g,240㎎,0g,4.7g,0g
자연드림)더맛있는스모크햄,500.0g,950㎉,79g,58g,27g,8g,2870㎎,0g,20g,0.5g
자연드림)더맛있는슬라이스햄,100.0g,185㎉,16g,10g,7g,2g,450㎎,0g,3.9g,0g
자연드림)더맛있는치즈햄,200.0g,395㎉,34g,23g,13g,4g,1010㎎,0g,8g,0g
자연드림)데미샘아펜젤러치즈100g데미샘목장,100.0g,366㎉,25g,25g,0g,0g,680㎎,0g,9g,0g
자연드림)데미생홍삼우유220ml,220.0mL,150㎉,8g,8g,11g,5g,90㎎,0g,4.6g,0g
자연드림)도라지청,5.0g,15㎉,0g,0g,4g,0g,0㎎,0g,0g,0g
자연드림)동물모양쿠키곰,360.0g,1785㎉,18g,80g,249g,122g,610㎎,0g,28g,0.3g
자연드림)동물모양쿠키티라노,360.0g,1785㎉,18g,80g,249g,122g,610㎎,0g,28g,0.3g
자연드림)동상곶감을넣어만든정성가득수정과,100.0mL,110㎉,0.7g,0g,28g,24g,0㎎,0g,0g,0g
자연드림)동태전,100.0g,160㎉,14g,8g,8g,0g,470㎎,0g,1.3g,0g
자연드림)돼지갈비찜,500.0g,830㎉,61g,47g,42g,19g,1940㎎,0g,20g,0g
자연드림)들깨버섯탕,500.0g,280㎉,14g,1.3g,53g,0.7g,700㎎,0g,0.7g,0g
자연드림)딸기머거바,80.0mL,125㎉,2g,4.6g,19g,14g,30㎎,0g,2.9g,0g
자연드림)딸기요구르트파우치,120.0mL,115㎉,4g,3.7g,17g,14g,50㎎,0g,2.8g,0g
자연드림)딸기우유,190.0mL,140㎉,5g,3.4g,22g,20g,35㎎,0g,2.5g,0g
자연드림)딸기주스190ml,190.0mL,85㎉,0g,0g,21g,17g,10㎎,0g,0g,0g
자연드림)땅콩깨비,85.0g,380㎉,8g,13g,57g,14g,260㎎,0g,2.2g,0g
자연드림)땅콩전병,95.0g,415㎉,9g,9g,74g,36g,95㎎,0g,2g,0g
자연드림)땅콩쿠키,100.0g,530㎉,8g,30g,57g,26g,180㎎,0g,14g,0.3g
자연드림)떠먹는더블초콜릿케이크,165.0g,645㎉,9g,45g,51g,39g,70㎎,0g,18g,0.3g
자연드림)떠먹는크림치즈요거트케이크,179.0g,505㎉,7g,36g,37g,39g,115㎎,0g,9g,0.3g
자연드림)떠먹는티라미수케이크,125.0g,415㎉,7g,31g,26g,25g,105㎎,0g,4.9g,0.3g
자연드림)라즈베리요거트케이크,620.0g,1640㎉,26g,91g,179g,163g,360㎎,0g,40g,1.7g
자연드림)레드라면컵,103.0g,470㎉,10g,17g,68g,3g,1930㎎,0g,0g,0g
자연드림)레드라면컵미니,65.0g,290㎉,6g,11g,42g,2g,960㎎,0g,5g,0g
자연드림)레드벨벳롤,320.0g,1150㎉,24g,63g,122g,85g,440㎎,0g,23g,0g
자연드림)레드비트즙,100.0mL,15㎉,0.7g,0g,4g,3g,15㎎,0g,0g,0g
자연드림)레몬에이드분말,10.0g,45㎉,0g,0.8g,9g,7g,0㎎,0g,0g,0g
자연드림)레인보우믹스120G도울,120.0g,465㎉,7g,2.3g,104g,22g,250㎎,0g,0.6g,0g
자연드림)리얼밀크바,70.0mL,110㎉,3g,3.7g,16g,15g,35㎎,0g,2.5g,0g
자연드림)리얼밀크초콜릿바,63.0mL,110㎉,2g,6g,12g,10g,23㎎,0g,2.3g,0g
자연드림)마늘빵,100.0g,535㎉,6g,33g,54g,8g,490㎎,0g,20g,0.3g
자연드림)마시는복숭아초,510.0mL,1245㎉,0g,2g,306g,190g,80㎎,0g,0g,0g
자연드림)마시는초콜릿,120.0mL,84.6㎉,2.6g,1.1g,16g,12.1g,39.9㎎,0g,0.7g,0g
자연드림)마시는초콜릿박스,120.0mL,84.6㎉,2.6g,1.1g,16g,12.1g,39.9㎎,0g,0.7g,0g
자연드림)마시는카페라떼,190.0mL,140㎉,3g,4.9g,21g,19g,40㎎,0g,3.2g,0g
자연드림)마시는카페라떼190ml24,190.0mL,140㎉,3g,4.9g,21g,19g,40㎎,0g,3.2g,0g
자연드림)매실넣은양배추액,100.0mL,40㎉,0.7g,0g,9g,9g,5㎎,0g,0g,0g
자연드림)매실요구르트,100.0mL,95㎉,3g,3.2g,14g,11g,35㎎,0g,2.9g,0g
자연드림)매실요구르트파우치,120.0mL,115㎉,4g,3.8g,16g,13g,35㎎,0g,3.5g,0g
자연드림)매콤달콤비빔냉면,420.0g,1180㎉,17g,54g,156g,39g,1450㎎,0g,14g,0g
자연드림)메밀수제비,500.0g,1160㎉,35g,4.1g,246g,10g,630㎎,0g,1.4g,0g
자연드림)모카쿠키,100.0g,530㎉,9g,0g,58g,21g,140㎎,0g,15g,0.3g
자연드림)목장스트링치즈,20.0g,50㎉,5g,3.7g,0.23g,0g,65㎎,0g,1.7g,0.13g
자연드림)목장우유,190.0mL,120㎉,6g,6g,9g,8g,95㎎,0g,4g,0g
자연드림)목장크림치즈플레인,20.0g,60㎉,2g,4.7g,2g,0g,35㎎,0g,2.2g,0g
자연드림)무농약포도로만든포도즙120ml20포,120.0mL,75㎉,0.7g,0g,18g,17g,0㎎,0g,0g,0g
자연드림)무항생제산양유,200.0mL,150㎉,8g,9g,9g,8g,70㎎,0g,7g,0.3g
자연드림)묵은지찌개,500.0g,70㎉,5g,1.4g,9g,0.5g,2310㎎,0g,0g,0g
자연드림)물만두,510.0g,1170㎉,48g,61g,106g,11g,1150㎎,0g,19g,1.5g
자연드림)물만두1인용,150.0g,345㎉,14g,18g,31g,3g,340㎎,0g,5g,0.3g
자연드림)물만두벌크,1020.0g,2335㎉,96g,123g,212g,22g,2300㎎,0g,37g,3g
자연드림)미니딸기파운드,85.0g,375㎉,5g,19g,47g,25g,150㎎,0g,11g,0g
자연드림)미니바나나파운드,85.0g,385㎉,5g,22g,41g,24g,130㎎,0g,13g,0g
자연드림)미니상큼딸기롤,180.0g,715㎉,11g,40g,78g,47g,340㎎,0g,12g,0g
자연드림)미니찹쌀약과,100.0g,490㎉,6g,25g,60g,32g,45㎎,0g,2.3g,0g
자연드림)미니초코칩쿠키,120.0g,625㎉,7g,32g,77g,24g,200㎎,0g,17g,0g
자연드림)미니초코파운드,85.0g,395㎉,6g,23g,41g,26g,180㎎,0g,14g,0g
자연드림)미니크림치즈케익20개,600.0g,1745㎉,39g,92g,191g,71g,740㎎,0g,53g,2.2g
자연드림)미니크림치즈케익4개,120.0g,350㎉,8g,18g,38g,14g,150㎎,0g,11g,0.3g
자연드림)미역국컵밥,192.0g,300㎉,6g,2.3g,65g,0g,1050㎎,0g,0.4g,0g
자연드림)밀봉카스테라,80.0g,240㎉,7g,3.6g,45g,28g,80㎎,0g,1.1g,0g
자연드림)밀예찬우리밀백밀국수,400.0g,1520㎉,46g,7g,317g,16g,2390㎎,0g,1.6g,0g
자연드림)바나나발효초,100.0mL,165㎉,0g,0g,41g,31g,0㎎,0g,0g,0g
자연드림)바나나볼,55.0g,265㎉,2g,9g,43g,33g,70㎎,0g,1.2g,0g
자연드림)바나나우유,190.0mL,135㎉,4g,4.3g,21g,20g,75㎎,0g,2.7g,0g
자연드림)바닐라향아이스크림,100.0mL,150㎉,3g,9g,14g,13g,45㎎,0g,6g,0.2g
자연드림)발효숙성노니주스,100.0mL,20㎉,0g,0g,4g,3g,10㎎,0g,0g,0g
자연드림)배도라지즙120ml,120.0mL,70㎉,0g,0g,16g,15g,0㎎,0g,0g,0g
자연드림)배도라지즙120ml20포,120.0mL,70㎉,0g,0g,16g,15g,0㎎,0g,0g,0g
자연드림)배즙120ml,120.0mL,60㎉,0g,0g,14g,13g,0㎎,0g,0g,0g
자연드림)배즙120ml20포,120.0mL,60㎉,0g,0g,14g,13g,0㎎,0g,0g,0g
자연드림)백미뻥이요,55.0g,220㎉,4g,0.8g,49g,0g,0㎎,0g,0g,0g
자연드림)백하수오액,80.0mL,10㎉,0.7g,0g,5g,0g,0㎎,0g,0g,0g
자연드림)버섯소시지,200.0g,280㎉,15g,13g,25g,7g,940㎎,0g,4.8g,0.2g
자연드림)버터롤쿠키,100.0g,550㎉,10g,32g,54g,24g,100㎎,0g,9g,0g
자연드림)버터롤쿠키스탠드,80.0g,435㎉,8g,26g,43g,19g,80㎎,0g,7g,0g
자연드림)베리베리롤,300.0g,1085㎉,20g,62g,114g,64g,470㎎,0g,17g,0g
자연드림)복분자아이스티,14.0g,56㎉,0g,0g,14g,13g,0㎎,0g,0g,0g
자연드림)복분자아이스티봉지,20.0g,80㎉,0g,0g,20g,18g,0㎎,0g,0g,0g
자연드림)복숭아아이스티봉지,20.0g,80㎉,0g,0g,20g,19g,0㎎,0g,0g,0g
자연드림)볼빨간아기곰,700.0g,2565㎉,29g,189g,181g,157g,320㎎,0g,88g,0g
자연드림)북어멸치칼국수,466.0g,525㎉,12g,1.4g,116g,6g,1410㎎,0g,0g,0g
자연드림)블루베리아로니아액80ml,80.0mL,20㎉,0.2g,0.3g,4g,4g,1㎎,0g,0g,0g
자연드림)블루베리아로니아액80ml20포,80.0mL,20㎉,0.2g,0.3g,4g,4g,1㎎,0g,0g,0g
자연드림)블루베리액80ml,80.0mL,0㎉,0g,0g,8g,7g,0㎎,0g,0g,0g
자연드림)블루베리액80ml30포,80.0mL,0㎉,0g,0g,8g,7g,0㎎,0g,0g,0g
자연드림)비비베르데유기농스파게티,100.0g,370㎉,10g,2.4g,77g,8g,0㎎,0g,0g,0g
자연드림)비비베르데유기농펜네,100.0g,349㎉,11g,1.9g,69g,4g,0㎎,0g,0g,0g
자연드림)비엔나소시지,30.0g,65㎉,4g,4.6g,1g,0.7g,95㎎,0g,1.7g,0g
자연드림)뼈없는감자탕,430.0g,300㎉,30g,10g,22g,4g,820㎎,0g,7g,0.3g
자연드림)삐약이계란과자,37.5g,185㎉,4g,8g,24g,12g,35㎎,0g,4.9g,0g
자연드림)사과주스180ml,180.0mL,90㎉,0g,0g,22g,19g,11㎎,0g,0g,0g
자연드림)사과즙120ml20포,120.0mL,58㎉,0.7g,0g,14g,14g,0㎎,0g,0g,0g
자연드림)사과톡톡,350.0mL,190㎉,0g,0.6g,46g,43g,0㎎,0g,0g,0g
자연드림)사과톡톡1,350.0mL,190㎉,0g,0.6g,46g,43g,0㎎,0g,0g,0g
자연드림)사과한모금120ml,120.0mL,60㎉,0g,0g,15g,14g,0㎎,0g,0g,0g
자연드림)사과한모금190ml,190.0mL,100㎉,0g,0g,24g,23g,0㎎,0g,0g,0g
자연드림)사르르콘스낵,48.0g,295㎉,2g,22g,24g,6g,160㎎,0g,1.9g,0g
자연드림)사이다,350.0mL,160㎉,0g,0g,40g,37g,0㎎,0g,0g,0g
자연드림)사이다1,350.0mL,160㎉,0g,0g,40g,37g,0㎎,0g,0g,0g
자연드림)산딸기무스케이크,680.0g,2005㎉,34g,101g,241g,190g,810㎎,0g,45g,0g
자연드림)산수유마들렌,300.0g,1480㎉,22g,98g,128g,97g,470㎎,0g,49g,0g
자연드림)산수유야관문,100.0mL,40㎉,0g,0g,10g,0g,0㎎,0g,0g,0g
자연드림)삼계탕,1000.0g,760㎉,71g,21g,72g,4g,1060㎎,0g,7g,0g
자연드림)삼색방울유과,60.0g,265㎉,1g,9g,44g,16g,5㎎,0g,0g,0g
자연드림)상큼딸기롤,300.0g,1190㎉,19g,66g,129g,78g,570㎎,0g,19g,0g
자연드림)상큼한스파게티소스,400.0g,270㎉,8g,7g,44g,39g,2410㎎,0g,1.5g,0g
자연드림)상큼한토마토케찹,100.0g,95㎉,0.7g,0g,23g,19g,610㎎,0g,0g,0g
자연드림)새우볶음밥,210.0g,325㎉,13g,4g,59g,1g,620㎎,0g,1.4g,0g
자연드림)생생당면,210.0g,430㎉,0g,0g,90g,0g,0㎎,0g,0g,0g
자연드림)생생비타100ml,100.0mL,60㎉,0g,0g,14g,11g,0㎎,0g,0g,0g
자연드림)생생비타100ml10포,100.0mL,60㎉,0g,0g,14g,11g,0㎎,0g,0g,0g
자연드림)석류즙120ml15포,120.0mL,60㎉,1g,0g,14g,13g,0㎎,0g,0g,0g
자연드림)성게알미역국,430.0g,90㎉,6g,2.8g,10g,0g,1300㎎,0g,0.6g,0g
자연드림)소보루빵,70.0g,275㎉,5g,9g,43g,8g,170㎎,0g,5g,0g
자연드림)소이타임하얀콩,190.0mL,125㎉,8g,5g,12g,8g,120㎎,0g,0.7g,0g
자연드림)쇼콜라티라미스,700.0g,2445㎉,41g,171g,185g,131g,800㎎,0g,84g,3.2g
자연드림)수手모카몬드쿠키,120.0g,645㎉,9g,35g,71g,32g,250㎎,0g,18g,0.3g
자연드림)수手쇼콜라쿠키,150.0g,800㎉,12g,43g,93g,39g,300㎎,0g,21g,0.3g
자연드림)수手아몬드쿠키,140.0g,740㎉,12g,41g,71g,26g,130㎎,0g,19g,0.3g
자연드림)수手초코칩쿠키,140.0g,740㎉,10g,41g,83g,38g,220㎎,0g,21g,0.3g
자연드림)순대볶음,270.0g,410㎉,6g,8g,79g,10g,1480㎎,0g,1.6g,0g
자연드림)숨120ml,120.0mL,45㎉,0g,0g,11g,8g,0㎎,0g,0g,0g
자연드림)숨190ml,190.0mL,70㎉,0g,0g,17g,12g,5㎎,0g,0g,0g
자연드림)스노우화이트,120.0mL,157㎉,4g,9g,15g,8g,0㎎,0g,6g,0g
자연드림)슬라이스치즈,18.0g,50㎉,4g,3.2g,1g,0g,150㎎,0g,1.9g,0.07g
자연드림)시나몬비스킷,100.0g,470㎉,3g,9g,37g,19g,90㎎,0g,4.9g,0g
자연드림)시래기된장국,500.0g,100㎉,6g,2.3g,13g,2g,1580㎎,0g,0g,0g
자연드림)시원한동치미냉면,450.0g,400㎉,14g,0.7g,84g,13g,1985㎎,0g,0.3g,0g
자연드림)쌀롤에바나나,180.0g,630㎉,12g,30g,78g,38g,300㎎,0g,7g,0g
자연드림)쌀소라형과자,150.0g,710㎉,8g,26g,111g,22g,270㎎,0g,1.6g,0g
자연드림)쌀시몬카스텔라,128.0g,425㎉,11g,19g,52g,49g,260㎎,0g,2.6g,0g
자연드림)쌀엔고구마쿠키,85.0g,435㎉,7g,23g,53g,18g,190㎎,0g,11g,0g
자연드림)쌀엔코코아쿠키,85.0g,465㎉,7g,27g,48g,25g,55㎎,0g,12g,0g
자연드림)쌍화차,100.0mL,25㎉,1g,0g,6g,5g,10㎎,0g,0g,0g
자연드림)쑥부쟁이찐빵,390.0g,945㎉,24g,22g,164g,38g,480㎎,0g,1.7g,0g
자연드림)아몬드미니롤,300.0g,1320㎉,20g,85g,119g,88g,220㎎,0g,29g,0g
자연드림)아이콘아이스크림,160.0mL,259㎉,4g,20g,36g,23g,35㎎,0g,4.9g,0g
자연드림)안심생짜장면,350.0g,730㎉,27g,11g,131g,23g,2890㎎,0g,1.5g,0g
자연드림)안심짜장면,138.0g,580㎉,11g,21g,88g,12g,1170㎎,0g,9g,0g
