식품명,1회제공량,에너지,단백질,지방,탄수화물,당류,나트륨,콜레스테롤,포화지방산,트랜스지방산
양지)친정집찌개된장골드,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)친정집찌개막장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)친정집찰고추장,100.0mL,194.0㎉,5g,1.0g,42.0g,19g,3179.0㎎,0g,0.0g,0g
양지)친정집회초장,100.0g,191.36㎉,3.18g,0.64g,43.22g,21.33g,2649.05㎎,0g,0.16g,0g
양지)친정집회초장골드,100.0g,191.36㎉,3.18g,0.64g,43.22g,21.33g,2649.05㎎,0g,0.16g,0g
양지)커피맛캔디,10.0g,40㎉,0g,0g,10g,7g,0㎎,0g,0g,0g
양지)하나진간장,100.0mL,35.0㎉,6.0g,0.0g,3.0g,1g,7903.0㎎,0g,0g,0g
양지)햇살고향재래된장,100.0g,164.81㎉,10.28g,3.41g,23.25g,10.94g,5470.77㎎,0g,0.52g,0.01g
양지)행복999장맛진간장,100.0mL,35.0㎉,6.0g,0.0g,3.0g,1g,7903.0㎎,0g,0g,0g
어린왕자)쌀뻥튀기,90.0g,348㎉,7g,1.6g,77g,0.5g,56㎎,0g,0.4g,0g
얼음골사과)얼음골사과즙,100.0g,55.7㎉,0.2g,0.1g,13.5g,13.3g,20.8㎎,0g,0.0g,0g
엄마)우리밀찐빵,80.0g,155㎉,0g,0g,0g,3g,170㎎,0g,0g,0g
엄마사랑)LOTTE초단백질바,40.0g,200㎉,9g,11g,16g,9g,120㎎,0g,3g,0g
엄마사랑)고단백질브라우니,43.0g,206㎉,7g,10g,22g,10g,85㎎,0g,426g,0g
엄마사랑)고식이섬유바,32.0g,139㎉,4g,6g,20g,7g,40㎎,0g,1.3g,0g
엄마사랑)굿발란스시리얼바,30.0g,125.0㎉,5.5g,3.0g,17.0g,5.5g,67.0㎎,0g,0g,0g
엄마사랑)깔끔하게한팩씩튀김가루,100.0g,350㎉,0g,0g,0g,2g,700㎎,0g,0g,0g
엄마사랑)단백질영양바,25.0g,115㎉,4g,4.1g,15g,9g,50㎎,0g,1g,1g
엄마사랑)박경호통곡물한끼선식,30.0g,120㎉,3.8g,0.9g,24g,4g,40.0㎎,0g,0.2g,0.0g
엄마사랑)베리베리땡큐바,25.0g,110㎉,2g,3.4g,18g,6g,40.0㎎,0g,0g,0.0g
엄마사랑)블랙푸드가들어간미숫가루,100.0g,405㎉,0g,0g,0g,1g,10㎎,0g,1g,0g
엄마사랑)비타민B뉴트리션바베리,40.0g,195㎉,4g,10g,23g,7g,40㎎,0g,3.6g,0g
엄마사랑)비타민D뉴트리션바카카오닙스,40.0g,195㎉,4g,10g,23g,8g,45㎎,0g,3.4g,0g
엄마사랑)빌더스단백질쉐이크초코,40.0g,145㎉,0g,0g,0g,11g,130㎎,20g,0.5g,0g
엄마사랑)빌더스단백질쉐이크쿠키,600.0g,2280㎉,0g,0g,0g,10g,160㎎,175g,13g,0g
엄마사랑)세리박스담백한단백바,43.0g,220㎉,13g,12g,16g,10g,135㎎,0g,3g,0g
엄마사랑)셀렉스매일밀크프로틴바3가지견과,30.0g,135㎉,6.3g,5g,16.7g,7.2g,42㎎,0g,2.3g,0g
엄마사랑)셀렉스매일밀크프로틴바3가지베리,30.0g,130㎉,6.3g,3.8g,18g,8.3g,67㎎,0g,2.2g,0g
엄마사랑)아침이건강한깔라만시바,25.0g,100㎉,3g,1.6g,18g,7g,45.0㎎,0g,0g,0.0g
엄마사랑)아침이든든한검정콩선식,40.0g,405㎉,5g,1.7g,32g,0.3g,0.0㎎,0g,0.5g,0.0g
엄마사랑)아침이든든한영양바,25.0g,100㎉,2g,2.9g,17g,7g,25.0㎎,0g,0g,0.0g
엄마사랑)아침이든든한통곡물선식,100.0g,400㎉,4g,1.7g,32g,0.3g,0.0㎎,0g,0.5g,0.0g
엄마사랑)아침이든든한풋사과바,25.0g,100㎉,3g,2g,18g,6g,45.0㎎,0g,0g,0.0g
엄마사랑)아침이상쾌한카카오닙스바,25.0g,105㎉,2g,3.5g,17g,6g,40.0㎎,0g,0.6g,0.0g
엄마사랑)에스리턴프로틴브라우니바초코,50.0g,230㎉,10g,0.5g,19g,0g,30㎎,0g,0.5g,0g
엄마사랑)옛날11곡미숫가루,100.0g,415㎉,12g,5g,80g,2g,5.0㎎,0g,1g,0.0g
엄마사랑)왕혜문체감한끼선식,30.0g,125㎉,3g,1.4g,25g,3g,20.0㎎,0g,0g,0.0g
엄마사랑)유기농블랙푸드선식,100.0g,395㎉,13.2g,3.6g,77g,1g,5.0㎎,0g,0g,0.0g
엄마사랑)초단백질바,50.0g,270㎉,12g,16g,18g,9g,200㎎,0g,5g,0g
엄마사랑)초에너지바,40.0g,195㎉,5g,10g,21g,11g,20㎎,0g,3.1g,0g
엄마사랑)추억의옛날영양바,100.0g,490㎉,10g,23g,60g,18g,105㎎,0g,7.1g,0g
엄마사랑)추억의통밀영양바,100.0g,520㎉,8g,28g,60g,25g,95㎎,0g,5.5g,0g
엄마사랑)통곡물이고소한미숫가루,100.0g,410㎉,14g,5.3g,76g,1.3g,0.0㎎,0g,1g,0.0g
엄마사랑)퍼펙트파워프로틴바요거트맛,35.0g,140㎉,13g,3g,15g,6g,196㎎,0g,0.4g,0g
엄지)굿프랜즈교자만두,100.0g,185.0㎉,8g,7.0g,23.0g,2.2g,400.0㎎,0g,3.0g,0g
엄지)굿프랜즈물만두,100.0g,190.0㎉,8g,8.0g,21.0g,2g,560.0㎎,0g,3.1g,0g
엄지)김용의모란각속찬만두,150g,472.5㎉,19.5g,21g,51g,6.6g,675.0㎎,0g,6.45g,0.3g
엄지)김치왕만두,100.0g,745.0㎉,20g,35.0g,88.0g,7g,980.0㎎,0g,13.0g,0.3g
엄지)납작군만두,100.0g,215.0㎉,6g,11.0g,23.5g,3g,350.0㎎,0g,4.0g,0g
엄지)담백한애호박왕교자,100.0g,190㎉,8g,11g,17g,2g,290㎎,8g,4.1g,0g
엄지)디딤돌물만두,100.0g,190㎉,8g,8g,21g,2g,560㎎,11g,3.1g,0g
엄지)바삭군만두,100.0g,180.0㎉,9g,6.0g,22.0g,1g,190.0㎎,0g,3.4g,0g
엄지)비비고물만두,370.0g,210.0㎉,9g,10.0g,23.0g,2.9g,300.0㎎,0g,3.0g,0.1g
